Time,Acceleration_X,Acceleration_Y,Acceleration_Z,Pitch_degree,Roll_degree,Yaw_degree,Heading_degree,Pitch_rate,Roll_rate,Yaw_rate
497.867,2.234997803,-0.02755477826,-32.1011568,3.929778655,0.3473315004,,73.95863808,0,0,0
497.867,2.234997803,-0.02755477826,-32.1011568,3.929778655,0.3473315004,,73.95863808,0,0,0
497.867,2.234997803,-0.02755477826,-32.1011568,3.929778655,0.3473315004,,73.95863808,0,0,0
497.867,2.234997803,-0.02755477826,-32.1011568,3.929778655,0.3473315004,,73.95863808,0,0,0
497.867,2.234997803,-0.02755477826,-32.1011568,3.929778655,0.3473315004,,73.95863808,0,0,0
497.867,2.234997803,-0.02755477826,-32.1011568,3.929778655,0.3473315004,,73.95863808,0,0,0
497.867,2.234997803,-0.02755477826,-32.1011568,3.929778655,0.3473315004,,73.95863808,0,0,0
497.867,2.234997803,-0.02755477826,-32.1011568,3.929778655,0.3473315004,,73.95863808,0,0,0
497.867,2.234997803,-0.02755477826,-32.1011568,3.929778655,0.3473315004,,73.95863808,0,0,0
497.867,2.234997803,-0.02755477826,-32.1011568,3.929778655,0.3473315004,,73.95863808,0,0,0
497.975,2.236967014,-0.3145093666,-32.1002608,3.933035393,0.3750828618,,73.96082974,0.0003959203737,0.0041769576,0.0003295179531
498.408,2.236954939,-0.3143947807,-32.10029453,3.933062742,0.3754278075,,73.96085693,0.0001198614663,0.002354908756,0.00018524298
498.408,2.236954939,-0.3143947807,-32.10029453,3.933062742,0.3754278075,,73.96085693,0.0001198614663,0.002354908756,0.00018524298
498.408,2.236954939,-0.3143947807,-32.10029453,3.933062742,0.3754278075,,73.96085693,0.0001198614663,0.002354908756,0.00018524298
498.408,2.236954939,-0.3143947807,-32.10029453,3.933062742,0.3754278075,,73.96085693,0.0001198614663,0.002354908756,0.00018524298
498.492,2.236590017,-0.3133736826,-32.10033721,3.932868205,0.3753779133,,73.96085201,-0.0003371880494,-0.00027108774,-2.300203672e-05
498.592,2.236689188,-0.3136403957,-32.10026911,3.932818697,0.3752989881,,73.96084557,-0.0003298045498,-0.0007280347481,-5.87858193e-05
498.692,2.236643488,-0.3134916985,-32.10033922,3.932784672,0.3752141203,,73.96083874,-0.0003435234697,-0.0009538556515,-7.655904022e-05
498.792,2.236652654,-0.3134415323,-32.10026755,3.932749843,0.3751096208,,73.96083036,-0.0003579542865,-0.001150290526,-9.203218131e-05
498.892,2.23659293,-0.3133286792,-32.10049074,3.932711507,0.3749871022,,73.96082056,-0.000420451293,-0.001304079596,-0.0001044113193
499.6,2.236577828,-0.3132857836,-32.10031164,3.932697654,0.3749431255,,73.96081704,-0.0004097564788,-0.001343310833,-0.000107430968
499.6,2.236577828,-0.3132857836,-32.10031164,3.932697654,0.3749431255,,73.96081704,-0.0004097564788,-0.001343310833,-0.000107430968
499.6,2.236577828,-0.3132857836,-32.10031164,3.932697654,0.3749431255,,73.96081704,-0.0004097564788,-0.001343310833,-0.000107430968
499.6,2.236577828,-0.3132857836,-32.10031164,3.932697654,0.3749431255,,73.96081704,-0.0004097564788,-0.001343310833,-0.000107430968
499.6,2.236577828,-0.3132857836,-32.10031164,3.932697654,0.3749431255,,73.96081704,-0.0004097564788,-0.001343310833,-0.000107430968
499.6,2.236577828,-0.3132857836,-32.10031164,3.932697654,0.3749431255,,73.96081704,-0.0004097564788,-0.001343310833,-0.000107430968
499.6,2.236577828,-0.3132857836,-32.10031164,3.932697654,0.3749431255,,73.96081704,-0.0004097564788,-0.001343310833,-0.000107430968
499.667,2.236358887,-0.312258918,-32.1003515,3.932360102,0.3735485752,,73.96070597,-0.0001887582379,-0.0005504480507,-4.412941689e-05
499.767,2.236366222,-0.3125231595,-32.10031839,3.932339159,0.3734589307,,73.96069883,-0.0001181442915,-0.0008067784826,-6.385349163e-05
499.867,2.236409557,-0.3124030073,-32.1003005,3.932327423,0.3733730178,,73.96069204,-0.0001267191611,-0.0009049861783,-7.159617144e-05
499.967,2.236380231,-0.31234867,-32.10031279,3.932314615,0.3732772408,,73.96068446,-0.0001256123829,-0.001017675458,-8.042301872e-05
500.067,2.23636302,-0.3122597226,-32.10031798,3.93230272,0.373171303,,73.9606761,-0.0001088805484,-0.001102445192,-8.698060131e-05
500.167,2.236334657,-0.3121833134,-32.100335,3.932294459,0.3730548745,,73.96066693,-5.15969639e-05,-0.001219013529,-9.582198794e-05
500.267,2.236420808,-0.3119952018,-32.10031755,3.932289882,0.3729322833,,73.9606573,-5.721883669e-05,-0.001196170348,-9.405989243e-05
500.367,2.236476639,-0.3120051529,-32.10031035,3.93227993,0.3728136703,,73.96064795,-0.0001593655435,-0.00118562793,-9.376210456e-05
500.467,2.236453221,-0.31194001,-32.10031548,3.932258584,0.3726945438,,73.9606385,-0.0002742457199,-0.00119760092,-9.529605982e-05
500.567,2.236537312,-0.3117589552,-32.10019108,3.932228393,0.3725705261,,73.96062862,-0.0003672204018,-0.001236415644,-9.882218549e-05
500.667,2.236380184,-0.3117842595,-32.10033017,3.932185107,0.3724493748,,73.9606189,-0.0004862431233,-0.001197894278,-9.641764599e-05
500.767,2.236262187,-0.3117737216,-32.10036185,3.932135301,0.3723282236,,73.96060915,-0.0004900771764,-0.001250666858,-0.0001005731145
501.15,2.236274857,-0.3116029264,-32.10045704,3.932102542,0.3722452001,,73.96060247,-0.0004985402401,-0.001209977875,-9.742842746e-05
501.15,2.236274857,-0.3116029264,-32.10045704,3.932102542,0.3722452001,,73.96060247,-0.0004985402401,-0.001209977875,-9.742842746e-05
501.15,2.236274857,-0.3116029264,-32.10045704,3.932102542,0.3722452001,,73.96060247,-0.0004985402401,-0.001209977875,-9.742842746e-05
501.192,2.236119764,-0.311088236,-32.10039993,3.931928851,0.371712219,,73.9605598,-0.0003561037842,-0.0009206056504,-7.400436157e-05
501.292,2.236111322,-0.3113710189,-32.10035389,3.931892893,0.3716161567,,73.96055208,-0.0003049303449,-0.000890497864,-7.137798732e-05
501.392,2.236098245,-0.3113319841,-32.10035648,3.931864354,0.3715242365,,73.96054473,-0.0002626583506,-0.0009536711333,-7.611150431e-05
501.492,2.236049919,-0.3113288901,-32.10032388,3.931840415,0.3714251856,,73.96053684,-0.0001988406451,-0.001058090644,-8.39638742e-05
501.617,2.236061406,-0.3112580119,-32.10036361,3.931834084,0.3713895594,,73.96053402,-0.0001759177554,-0.001082972978,-8.579460396e-05
501.692,2.236070927,-0.3110135257,-32.10036526,3.931808521,0.3712065715,,73.96051954,-0.0001402064827,-0.001048925406,-8.293919828e-05
501.792,2.236055425,-0.3110492853,-32.10036445,3.93179554,0.3710934395,,73.96051061,-9.458596828e-05,-0.001045428329,-8.242995618e-05
501.892,2.236126419,-0.311173691,-32.10068357,3.93178822,0.370987859,,73.96050229,-5.213295294e-05,-0.001084591876,-8.527800832e-05
502.058,2.23600433,-0.3108218204,-32.10041047,3.931783408,0.3708750722,,73.96049343,-2.201614597e-05,-0.001119567675,-8.786197683e-05
502.092,2.23605082,-0.3106552904,-32.10038529,3.931785806,0.3707569257,,73.96048418,6.135599586e-05,-0.00113481135,-8.862176256e-05
502.175,2.2359728,-0.3109469353,-32.10006165,3.931790786,0.3706831966,,73.96047843,9.715451365e-05,-0.001102380037,-8.589752501e-05
502.275,2.236133197,-0.3105965569,-32.1003527,3.93180662,0.370551777,,73.96046821,0.0001370892007,-0.001048345435,-8.14548686e-05
502.392,2.236217404,-0.3107549919,-32.10069724,3.931819526,0.3704443485,,73.96045986,9.329351526e-05,-0.0009571457959,-7.453609876e-05
502.492,2.23606474,-0.3103916965,-32.10004057,3.931825809,0.3703404912,,73.96045175,3.516821791e-05,-0.0009165535513,-7.165213106e-05
502.592,2.236111991,-0.3105331148,-32.10037199,3.931830198,0.3702547153,,73.96044505,4.821839668e-05,-0.000820158857,-6.403320784e-05
502.692,2.236116924,-0.3105150752,-32.1003723,3.931835079,0.3701738512,,73.96043874,4.920607501e-05,-0.0007994913086,-6.240816252e-05
502.792,2.236117007,-0.310479547,-32.1003725,3.931840067,0.3700941938,,73.96043252,5.127016224e-05,-0.0007947485378,-6.202580691e-05
502.892,2.236116096,-0.3104408154,-32.10037406,3.93184543,0.3700146166,,73.96042631,5.720736574e-05,-0.0007980009665,-6.225006859e-05
502.992,2.236115991,-0.3103999094,-32.10037366,3.931851574,0.36993444,,73.96042006,6.714789409e-05,-0.0008069068145,-6.289664553e-05
503.092,2.236117156,-0.3103575068,-32.1003743,3.931858874,0.3698531652,,73.96041373,8.046874841e-05,-0.0008201586509,-6.386634102e-05
503.3,2.236108175,-0.310314013,-32.10038406,3.931869711,0.3697658841,,73.96040694,0.0001309959571,-0.0008996751913,-6.98364185e-05
503.3,2.236108175,-0.310314013,-32.10038406,3.931869711,0.3697658841,,73.96040694,0.0001309959571,-0.0008996751913,-6.98364185e-05
503.375,2.236140356,-0.3101206389,-32.100381,3.931896085,0.3695891981,,73.96039323,0.0001623777011,-0.0009075980733,-7.029066937e-05
503.475,2.236160986,-0.3101525979,-32.10037267,3.931911159,0.3695032435,,73.96038657,0.0001427017721,-0.0008392557929,-6.503967068e-05
503.575,2.236150792,-0.3101338474,-32.10037197,3.931925776,0.3694180196,,73.96037997,0.000153650819,-0.0008716084943,-6.752060301e-05
503.675,2.236153383,-0.3100839999,-32.10037404,3.931942131,0.3693289849,,73.96037308,0.000176397629,-0.0009121801497,-7.058281334e-05
503.775,2.236162026,-0.3100298981,-32.10037482,3.931960969,0.3692359436,,73.96036588,0.0002028467228,-0.0009513753534,-7.35180701e-05
503.875,2.236148179,-0.3100113288,-32.10036853,3.931983305,0.3691370806,,73.96035825,0.0002570194826,-0.001046982363,-8.073065618e-05
503.975,2.236212618,-0.3098742948,-32.10036622,3.932009929,0.3690328269,,73.96035022,0.000266129089,-0.001023210339,-7.881931601e-05
504.075,2.236210911,-0.3098544361,-32.10037219,3.932037043,0.3689295702,,73.96034226,0.0002799487339,-0.001049100574,-8.077712606e-05
504.175,2.236185868,-0.3097977493,-32.10039136,3.932066183,0.3688228737,,73.96033405,0.0003144621327,-0.001088263728,-8.366824982e-05
504.275,2.235998974,-0.3098990741,-32.10010367,3.932106372,0.3687131188,,73.96032566,0.0005198664895,-0.001128706752,-8.577422148e-05
504.375,2.236202016,-0.3095609752,-32.10046958,3.932169655,0.3685961317,,73.96031682,0.0007390114727,-0.001164729969,-8.746129561e-05
504.475,2.235883072,-0.3096051802,-32.10054813,3.932254154,0.3684799109,,73.96030815,0.001050074389,-0.001175012231,-8.665548146e-05
504.575,2.235459111,-0.3095452547,-32.10058641,3.932396689,0.3683602996,,73.96029951,0.001960490702,-0.001221129258,-8.555022638e-05
504.675,2.236082583,-0.3096173151,-32.10030447,3.932633238,0.3682350769,,73.96029092,0.002730957584,-0.001329076771,-9.00221591e-05
504.775,2.236621272,-0.3094116255,-32.10034361,3.932920512,0.3680998999,,73.96028181,0.002953931932,-0.001363056768,-9.153465429e-05
504.875,2.237404624,-0.30917813,-32.10052858,3.93320309,0.3679596081,,73.96027228,0.002593318372,-0.00144613386,-9.992014982e-05
504.975,2.237495518,-0.3092513056,-32.10022895,3.933435882,0.3678146129,,73.96026212,0.002028300066,-0.001491429457,-0.0001064137146
505.192,2.238392569,-0.3091165325,-32.09966769,3.933552247,0.3677169136,,73.96025506,0.001281826001,-0.001457998978,-0.0001076678279
505.192,2.238392569,-0.3091165325,-32.09966769,3.933552247,0.3677169136,,73.96025506,0.001281826001,-0.001457998978,-0.0001076678279
505.292,2.238603675,-0.3086002526,-32.0998785,3.933590155,0.3673127867,,73.96022357,-0.001137953895,-0.001221307668,-0.0001016610134
505.408,2.237265228,-0.3088140798,-32.10037652,3.933433396,0.3672018893,,73.96021407,-0.001854063335,-0.001043525266,-9.143687164e-05
505.483,2.236649688,-0.3088346771,-32.10039141,3.933268495,0.3671021363,,73.96020539,-0.001670617267,-0.001144706164,-9.841200702e-05
505.608,2.23635668,-0.3088309396,-32.10045291,3.933115447,0.3669686106,,73.96019413,-0.001062587647,-0.001375800706,-0.0001133712258
505.675,2.236289457,-0.308676967,-32.10050296,3.933043637,0.3668493659,,73.96018441,-0.0006176744646,-0.001442117296,-0.0001162646314
505.775,2.236315787,-0.3066997873,-32.10054091,3.933005751,0.3667491301,,73.96017635,-0.0001129142043,-5.318255217e-05,-4.753764483e-06
505.875,2.236278097,-0.3079383426,-32.10046002,3.933020737,0.3668501759,,73.96018435,0.0004642293025,0.001916121586,0.000152624833
505.975,2.236660349,-0.309406562,-32.10038834,3.933085615,0.3670327271,,73.960199,0.000793131831,0.00150549443,0.0001221409157
506.075,2.236782224,-0.3096182305,-32.10029876,3.933168628,0.3671503708,,73.96020865,0.0008832024831,0.0007328226752,6.203603696e-05
506.175,2.236863028,-0.3093928875,-32.10034974,3.933260584,0.3671881346,,73.96021209,0.0009550884234,7.392347217e-06,5.532744707e-06
506.275,2.237038058,-0.3112266714,-32.10029436,3.933356979,0.3671253,,73.96020766,0.0009403578634,-0.001854907763,-0.000140553242
506.375,2.23703777,-0.3099624871,-32.10047234,3.933449094,0.3668306731,,73.96018504,0.0009049278409,-0.004013035318,-0.0003099479517
506.475,2.237069845,-0.3093497514,-32.10017774,3.933540423,0.3663760978,,73.96014988,0.0009459062006,-0.005159041141,-0.0003995933271
506.575,2.237081738,-0.3087782818,-32.10028777,3.933637322,0.3658000127,,73.96010521,0.001012784684,-0.006365731827,-0.0004938706273
506.675,2.237089275,-0.308051792,-32.10036186,3.933741386,0.3651576945,,73.96005539,0.001086968913,-0.006540844322,-0.0005072259784
506.775,2.237168536,-0.3071554245,-32.09999252,3.933855694,0.3644717359,,73.96000219,0.001177626097,-0.006951567393,-0.0005389756464
506.917,2.237372329,-0.3061339713,-32.10027288,3.933972084,0.3637802124,,73.95994857,0.00113735468,-0.006712730124,-0.0005204681174
506.983,2.237576195,-0.3053724306,-32.10010004,3.934088324,0.3631263254,,73.9598979,0.0009929885356,-0.005213821091,-0.0004036952309
507.083,2.237575927,-0.3053713977,-32.10034701,3.934177133,0.3626681923,,73.95986244,0.0007839284716,-0.003911940641,-0.000302693599
507.183,2.237519025,-0.3046296589,-32.09991645,3.934248109,0.3623308291,,73.95983635,0.0006281500222,-0.002535363572,-0.0001955578819
507.283,2.237582001,-0.3030555713,-32.10033403,3.934306179,0.3622117425,,73.95982731,0.0005235979287,0.0006857152628,5.649129389e-05
507.383,2.237551699,-0.3050412746,-32.10013352,3.934358324,0.3624024013,,73.95984254,0.000523743981,0.00296831155,0.000235495334
507.525,2.237567297,-0.3068589011,-32.10031436,3.934408604,0.3627310221,,73.95986857,0.0004957735218,0.003233301047,0.0002561295578
507.592,2.237640153,-0.3072663236,-32.10032928,3.934461384,0.3630355716,,73.95989272,0.0004647796701,0.002315743546,0.0001840143881
507.692,2.237597549,-0.3072755741,-32.10028831,3.93451039,0.3632301164,,73.95990823,0.0005076870962,0.001534466472,0.0001229687169
507.792,2.237715344,-0.3072530385,-32.1002609,3.934560822,0.3633541193,,73.95991822,0.0004736327579,0.0009050496564,7.343191846e-05
507.892,2.237666082,-0.3071052348,-32.10030509,3.934608058,0.3634128214,,73.95992307,0.0004732100547,0.0003028588252,2.620423335e-05
507.992,2.237682093,-0.3071207357,-32.10030075,3.934655888,0.363425413,,73.95992431,0.0004863815836,-0.0001057612673,-5.77252945e-06
508.092,2.237758017,-0.3067590039,-32.10040868,3.934705297,0.3634033891,,73.95992283,0.0004927884419,-0.0002874709671,-1.998585911e-05
508.192,2.237735438,-0.30685571,-32.10028917,3.934754354,0.3633700608,,73.95992047,0.0004957559225,-0.0004109764234,-2.966255823e-05
508.267,2.237747594,-0.3071922458,-32.10026297,3.934787814,0.3633345453,,73.95991786,0.000510725482,-0.0007333915098,-5.486966769e-05
508.483,2.237781077,-0.3067117997,-32.10028875,3.934831508,0.3632567398,,73.95991199,0.0005410635375,-0.001060204614,-8.034050465e-05
508.483,2.237781077,-0.3067117997,-32.10028875,3.934831508,0.3632567398,,73.95991199,0.0005410635375,-0.001060204614,-8.034050465e-05
508.667,2.237973451,-0.3062831562,-32.10028854,3.934949689,0.3630541,,73.95989671,0.0006761664804,-0.0009818927122,-7.350425123e-05
508.667,2.237973451,-0.3062831562,-32.10028854,3.934949689,0.3630541,,73.95989671,0.0006761664804,-0.0009818927122,-7.350425123e-05
508.825,2.238062914,-0.3062136262,-32.10026986,3.935156942,0.3627794018,,73.95987624,0.0007093351651,-0.0008237215142,-6.092482619e-05
508.883,2.238035905,-0.3060483012,-32.100282,3.935204503,0.3627354012,,73.95987303,0.0007117494625,-0.000484207108,-3.428751825e-05
508.967,2.238033914,-0.3063563367,-32.10026992,3.935283591,0.36268362,,73.95986938,0.0007506056404,-0.00050177951,-3.546496958e-05
509.075,2.23804589,-0.306372715,-32.1002744,3.935367384,0.36262431,,73.95986517,0.0008066269649,-0.000603821473,-4.317896283e-05
509.175,2.237934153,-0.3064965788,-32.09995768,3.93545233,0.3625596554,,73.95986053,0.0009310803766,-0.0007100900722,-5.087050745e-05
